date;mkt;SMB;HML;RMW;CMA;RF
6/9/1991;0;0,0007;0,0005;-0,0021;0,0008;0,0002
9/9/1991;-0,0011;0,0017;-0,0018;0,0005;0,0011;0,0002
10/9/1991;-0,0102;0,0004;0,0016;0,0006;-0,0001;0,0002
11/9/1991;0,0017;0;-0,0023;0,0013;-0,0023;0,0002
12/9/1991;0,0066;-0,001;-0,0055;0,0032;-0,0066;0,0002
13/9/1991;-0,0087;0,0071;0,0028;-0,002;0,0052;0,0002
16/9/1991;0,0042;-0,0062;-0,0002;0,0008;0,0022;0,0002
17/9/1991;-0,0005;0,0005;-0,0018;0,0016;-0,0009;0,0002
18/9/1991;0,0034;-0,0005;-0,0019;-0,0002;-0,0021;0,0002
19/9/1991;0,0031;0,0042;-0,0028;0,0004;-0,0031;0,0002
20/9/1991;0,0021;0,0033;-0,0019;-0,0004;-0,0004;0,0002
23/9/1991;-0,0043;0,002;-0,0009;0,0019;-0,0004;0,0002
24/9/1991;0,0044;-0,0041;-0,0009;0,0003;-0,0026;0,0002
25/9/1991;-0,0016;0,001;0,0011;-0,0001;0,0015;0,0002
26/9/1991;-0,0002;0,0012;0,0048;-0,0026;0,0014;0,0002
27/9/1991;-0,0018;-0,0012;0,001;-0,0008;0,0014;0,0002
30/9/1991;0,0053;0,0017;-0,0029;0,0001;0,0001;0,0002
1/10/1991;0,0027;-0,0015;-0,0062;0,0018;-0,0027;0,0002
2/10/1991;-0,0024;0,0001;0,0024;-0,0013;0,0022;0,0002
3/10/1991;-0,0085;0,0009;0,0044;-0,0009;0,002;0,0002
4/10/1991;-0,0059;0,0065;0,0018;-0,0017;-0,0003;0,0002
7/10/1991;-0,0054;-0,0021;-0,0006;0,001;0,0008;0,0002
8/10/1991;0,0025;-0,0013;0,0006;0,0022;0,0005;0,0002
9/10/1991;-0,0083;0,0049;-0,0014;0,0006;-0,0002;0,0002
10/10/1991;0,007;-0,0071;-0,0006;0;0,0002;0,0002
11/10/1991;0,0031;0,0005;-0,0001;-0,0024;-0,0018;0,0002
14/10/1991;0,0115;-0,0039;-0,0035;0,0022;-0,0049;0,0002
15/10/1991;0,0122;-0,0017;-0,0005;-0,0015;-0,0041;0,0002
16/10/1991;0,0068;0,0047;-0,0003;-0,0021;-0,0041;0,0002
17/10/1991;-0,0022;0,002;0,001;-0,002;0,0008;0,0002
18/10/1991;0,0021;0,0026;0,001;-0,0031;-0,0004;0,0002
21/10/1991;-0,0055;0,0045;0,0004;0,0003;0,0003;0,0002
22/10/1991;-0,0038;0,0054;-0,0008;-0,0026;-0,0011;0,0002
23/10/1991;-0,0005;-0,0021;-0,0007;0,0005;0,0019;0,0002
24/10/1991;-0,0074;-0,002;0,0035;0,0009;0,0042;0,0002
25/10/1991;-0,0028;-0,0015;0,0028;0,0012;0,0029;0,0002
28/10/1991;0,0118;-0,0083;-0,0038;0,0008;-0,003;0,0002
29/10/1991;0,0062;0,0005;0,0005;-0,0007;0,0006;0,0002
30/10/1991;0,0051;0,0008;0,0024;-0,0049;0;0,0002
31/10/1991;0,0012;0,0079;-0,0049;-0,0019;-0,0008;0,0002
1/11/1991;-0,0026;0,0015;-0,0019;0,0019;0,002;0,0002
4/11/1991;-0,0029;-0,0006;0,0015;0,0038;0,0014;0,0002
5/11/1991;-0,002;0,0026;-0,0007;0,0003;-0,0001;0,0002
6/11/1991;0,0026;-0,0009;0;0,0005;-0,0004;0,0002
7/11/1991;0,0091;-0,0014;-0,0026;0,001;-0,0006;0,0002
8/11/1991;0,0002;0,0025;-0,0017;-0,0001;-0,0011;0,0002
11/11/1991;0,0012;0,0013;-0,0063;0,0007;-0,002;0,0002
12/11/1991;0,0089;-0,0021;-0,0042;0,0017;-0,0022;0,0002
13/11/1991;0,0012;-0,0019;-0,0021;0,0013;-0,0007;0,0002
14/11/1991;-0,0012;0,0004;-0,0004;0,002;-0,002;0,0002
15/11/1991;-0,0333;0,0045;0,0153;0,0012;0,0114;0,0002
