Name;Banksus returns
15/10/2003;-0.004601778
16/10/2003;0.002378414
17/10/2003;-0.008201753
20/10/2003;0.000192143
21/10/2003;-0.001139672
22/10/2003;-0.00841599
23/10/2003;0.008766269
24/10/2003;-0.002475181
27/10/2003;-0.001750071
28/10/2003;0.009895024
29/10/2003;0.004142937
30/10/2003;0.003848155
31/10/2003;0.002604529
03/11/2003;0.011132838
04/11/2003;-0.001076286
05/11/2003;-6.68863E-06
06/11/2003;0.006898901
07/11/2003;-0.00750106
10/11/2003;-0.003311661
11/11/2003;-0.001606145
12/11/2003;0.004763863
13/11/2003;-0.001185489
14/11/2003;-0.009825822
17/11/2003;-0.002276578
18/11/2003;-0.011577938
19/11/2003;0.005481603
20/11/2003;-0.004768185
21/11/2003;0.007358224
24/11/2003;0.00928922
25/11/2003;0.004280097
26/11/2003;0.003579572
27/11/2003;0
28/11/2003;-0.000796586
01/12/2003;0.008694547
02/12/2003;-0.001315326
03/12/2003;-0.00495128
04/12/2003;-0.000768545
05/12/2003;-0.00904625
08/12/2003;0.012276839
09/12/2003;-0.011986789
10/12/2003;-0.003127525
11/12/2003;0.007427912
12/12/2003;0.00165063
15/12/2003;-0.005701507
16/12/2003;0.008205794
17/12/2003;-0.001686691
18/12/2003;0.008471574
19/12/2003;0.002620295
22/12/2003;0.002745591
23/12/2003;0.00188117
24/12/2003;-0.002310705
25/12/2003;0
26/12/2003;0.001268248
29/12/2003;0.009794372
30/12/2003;0.00273523
31/12/2003;0.000391068
01/01/2004;0
02/01/2004;-0.006557529
05/01/2004;0.005749153
06/01/2004;0.001323049
07/01/2004;-0.001003532
08/01/2004;0.00111425
09/01/2004;-0.003098209
12/01/2004;-0.000810378
13/01/2004;-0.007599758
14/01/2004;0.007050419
15/01/2004;0.008954419
16/01/2004;0.003843645
19/01/2004;0
20/01/2004;0.000348691
21/01/2004;0.013740611
22/01/2004;-0.001338176
23/01/2004;-0.002189547
26/01/2004;0.012838842
27/01/2004;-0.006817971
28/01/2004;-0.015336762
29/01/2004;0.00195254
30/01/2004;0.000920173
02/02/2004;0.00042441
03/02/2004;-0.001524856
04/02/2004;-0.00508677
05/02/2004;-0.002630984
06/02/2004;0.015107993
09/02/2004;-0.004278657
10/02/2004;0.001295777
11/02/2004;0.011447636
12/02/2004;-0.002944987
13/02/2004;-0.001329352
16/02/2004;0
17/02/2004;0.005401799
18/02/2004;-0.004880024
19/02/2004;0.000101778
20/02/2004;-0.004290005
23/02/2004;0.001544737
24/02/2004;-0.000727389
25/02/2004;0.004940923
26/02/2004;0.002429657
27/02/2004;0.005175809
01/03/2004;0.005262028
02/03/2004;-0.005243119
03/03/2004;0.004804104
04/03/2004;-0.000495691
05/03/2004;0.00950071
08/03/2004;-0.001549177
09/03/2004;-0.005519357
10/03/2004;-0.01292422
11/03/2004;-0.014488841
12/03/2004;0.011681599
15/03/2004;-0.011745949
16/03/2004;0.010645038
17/03/2004;0.010923465
18/03/2004;-0.000901017
19/03/2004;-0.013671109
22/03/2004;-0.012287292
23/03/2004;0.000569148
24/03/2004;-0.004627238
25/03/2004;0.013010412
26/03/2004;-0.003301096
29/03/2004;0.014123112
30/03/2004;0.00395639
31/03/2004;-0.001865466
01/04/2004;0.007422226
02/04/2004;-0.01289957
05/04/2004;0.002307569
06/04/2004;0.002872244
07/04/2004;-0.005147992
08/04/2004;-0.003429748
09/04/2004;0
12/04/2004;0.004930543
13/04/2004;-0.021575969
14/04/2004;-0.013538499
15/04/2004;-0.008174802
16/04/2004;0.011289639
19/04/2004;-0.001943993
20/04/2004;-0.012442653
21/04/2004;0.000891538
22/04/2004;0.013941167
23/04/2004;-0.003685956
26/04/2004;-0.001620596
27/04/2004;0.003356856
28/04/2004;-0.014708484
29/04/2004;-0.00279797
30/04/2004;-1.33743E-05
03/05/2004;0.008907648
04/05/2004;0.005670605
05/05/2004;0.00333576
06/05/2004;-0.012505368
07/05/2004;-0.021662808
10/05/2004;-0.016211831
11/05/2004;0.005600365
12/05/2004;0.012343139
13/05/2004;0.001972487
14/05/2004;0.000737835
17/05/2004;-0.009873736
18/05/2004;0.009562422
19/05/2004;-0.000352036
20/05/2004;0.005685094
21/05/2004;0.007305203
24/05/2004;0.002856554
25/05/2004;0.014148495
26/05/2004;0.007378271
27/05/2004;-0.000287041
28/05/2004;0.00056748
31/05/2004;0
01/06/2004;-0.001259327
02/06/2004;0.002784055
03/06/2004;-0.00866446
